"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Jaylen Clark","UCLA",2023,53,4432247,"UCLA",3,4.497,9.362,11.093,NA,-1.84,-1.31,-0.52,NA,NA
"Jaylen Hands","UCLA",2019,56,4278526,"UCLA",2,5.391,8.042,NA,NA,-10,NA,NA,NA,NA
"Jaylen Nowell","Washington",2019,43,4278541,"Washington",2,8.878,11.074,NA,NA,-1.71,-1.48,-0.8,-2.2,-1.79
"Jaylen Wells","Washington State",2024,39,5112087,"Washington State",2,8.503,9.65,NA,NA,-1.39,-1.05,NA,NA,NA
"Jaylin Williams","Arkansas",2022,34,4432823,"Arkansas",2,2.493,6.906,NA,NA,-1.81,0.17,0.25,0.7,NA
"Jaylon Tyson","California",2024,20,4683747,"California",3,12.371,9.65,11.093,NA,-1.88,-0.6,NA,NA,NA
"Jayson Tatum","Duke",2017,3,4065648,"Duke",1,15.369,NA,NA,NA,1.39,1.54,3.82,2.93,5.24
"Jeff Ayres","Arizona State",2009,31,26880,"Arizona State",4,9.06,12.571,11.093,13.329,-2.2,-1.98,-2.9,-2.04,-1.71
"Jeff Teague","Wake Forest",2009,19,36121,"Wake Forest",2,7.857,10.394,NA,NA,-2.42,-0.49,0.95,0,0.12
"Jeff Withey","Kansas",2013,39,40989,"Kansas",4,7.094,9.295,11.093,13.329,-1.54,-0.49,-0.4,-1.05,-0.22
"Jeffery Taylor","Vanderbilt",2012,31,41709,"Vanderbilt",4,5.773,7.54,7.128,12.472,-1.6,-3.16,-3.24,NA,NA
"Jerami Grant","Syracuse",2014,39,61822,"Syracuse",2,10.01,9.65,NA,NA,-1.08,-1.37,-1.8,-1,0.52
"Jeremiah Fears","Oklahoma",2025,7,5144091,"Oklahoma",1,10.517,NA,NA,NA,-0.82,NA,NA,NA,NA
"Jeremiah Robinson-Earl","Villanova",2021,32,4432813,"Villanova",2,7.295,15.327,NA,NA,-2.24,-1.2,-1.17,-0.58,-1.35
"Jeremy Evans","Western Kentucky",2010,55,32795,"Western Kentucky",4,3.685,3.918,7.13,13.329,0.32,0.7,1.22,-0.12,0.65
"Jeremy Lamb","UConn",2012,12,51453,"UConn",2,5.825,13.847,NA,NA,-1.93,-0.25,-0.83,0.31,0.14
"Jeremy Sochan","Baylor",2022,9,4610139,"Baylor",1,6.174,NA,NA,NA,-2.74,-2.1,-1.4,-1.08,NA
"Jerian Grant","Notre Dame",2015,19,51374,"Notre Dame",4,10.311,8.125,19.506,13.329,-1.83,0.16,-0.43,-1.65,-1.26
"Jericho Sims","Texas",2021,58,4277922,"Texas",4,3.135,7.01,6.351,13.329,-1.41,-1.36,-1.07,-1.69,-1.75
"Jermaine Taylor","UCF",2009,32,26812,"UCF",4,13.448,14.914,11.093,13.329,-2.3,-1.45,NA,NA,NA
"Jerome Robinson","Boston College",2018,13,3943606,"Boston College",3,2.473,11.084,14.547,NA,-1.93,-2.07,-2.92,-1.33,NA
"Jerryd Bayless","Arizona",2008,11,36075,"Arizona",1,16.722,NA,NA,NA,-3.06,-1.44,-1.86,-0.29,-1.47
"Jett Howard","Michigan",2023,11,5105806,"Michigan",1,6.964,NA,NA,NA,-1.39,-3.38,-2.41,NA,NA
"Jevon Carter","West Virginia",2018,32,3133635,"West Virginia",4,4.582,4.983,13.613,18.059,-1.86,0.9,0.52,-0.35,0.36
"Jimmer Fredette","BYU",2011,10,36409,"BYU",4,3.948,9.917,20.72,25,-2.99,-1.87,-0.6,-1.22,-1.62
"Jimmy Butler","Marquette",2011,30,41080,"Marquette",3,2.908,15.891,11.531,NA,-1.73,2.2,2.3,3.08,2.55
"Jodie Meeks","Kentucky",2009,41,31683,"Kentucky",3,15.306,9.65,11.093,NA,-0.76,0.54,-0.25,-0.32,-0.74
"Joe Alexander","West Virginia",2008,8,27301,"West Virginia",3,13.004,9.65,11.093,NA,-1.65,-2.86,-2.27,NA,NA
"Joe Crawford","Kentucky",2008,58,22100,"Kentucky",4,11.472,9.65,11.093,13.329,-2.07,NA,NA,NA,NA
"Joe Harris","Virginia",2014,33,51064,"Virginia",4,4.152,8.33,12.001,9.331,-2.12,-2.58,-2.58,-0.56,-1.22
"Joe Wieskamp","Iowa",2021,41,4397033,"Iowa",3,6.595,8.054,10.532,NA,-2.2,-2.48,NA,NA,NA
"Joe Young","Oregon",2015,43,51555,"Oregon",4,14.449,15.275,11.093,13.329,-1.96,-2.02,-2.79,NA,NA
"Joel Bolomboy","Weber State",2016,52,61231,"Weber State",4,3.115,6.115,6.387,11.659,-1.85,-2.56,NA,NA,NA
"Joel Embiid","Kansas",2014,3,67433,"Kansas",1,8.421,NA,NA,NA,-0.88,-0.5,2.58,3.02,5.09
"Joey Dorsey","Memphis",2008,33,22285,"Memphis",4,4.823,9.65,11.093,13.329,-1.31,-3.22,-1.61,-0.22,NA
"John Collins","Wake Forest",2017,19,3908845,"Wake Forest",2,18.271,9.65,NA,NA,-0.51,-0.02,-0.37,1.26,0.37
"John Henson","UNC",2012,14,45531,"UNC",3,2.425,4.704,8.641,NA,-2.22,-3.18,-1.85,-2.69,-1.62
"John Jenkins","Vanderbilt",2012,23,45892,"Vanderbilt",3,5.451,13.119,17.763,NA,-1.48,-1.25,-0.13,-1.38,-1.11
"John Tonje","Wisconsin",2025,53,4593043,"Wisconsin",4,15.924,9.65,11.093,13.329,-2.08,NA,NA,NA,NA
"John Wall","Kentucky",2010,1,45885,"Kentucky",1,13.605,NA,NA,NA,-0.79,-1.22,0.48,1.82,2.25
"Johni Broome","Auburn",2025,35,4433569,"Auburn",4,8.271,12.829,19.13,13.329,-2.81,NA,NA,NA,NA
"Johnny Davis","Wisconsin",2022,10,4432356,"Wisconsin",2,15.219,9.65,NA,NA,-3.02,-2.02,-1.26,-1.21,NA
"Johnny Furphy","Kansas",2024,35,5157066,"Kansas",1,5.615,NA,NA,NA,-0.56,-0.57,NA,NA,NA
